epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3687,1.00402,1.69685,2.16752,0.93989,0.88685,0.67907,0.7315,0.50596,0.86865,0.66744,0.69301,0.22551,0.86213,1.8168,1.93777,0.91598,0.000543587,0.000543587,0.000543587
2,31.6473,1.13667,2.12443,2.58306,1.04609,0.62316,0.12791,0.09096,0.05753,0.62316,0.12791,0.09095,0.0401,1.00948,2.12392,4.33383,1.01812,0.00107749,0.00107749,0.00107749
3,48.3163,1.60596,2.79615,2.99981,1.29094,0.59588,0.11628,0.05875,0.03198,0.76667,0.09302,0.0902,0.03988,1.41905,4.13828,7.95934,1.17405,0.00158939,0.00158939,0.00158939
4,65.2891,1.60445,3.23092,2.92874,1.38968,0.41374,0.64512,0.50288,0.27894,0.41051,0.61024,0.44996,0.11602,1.36613,4.0478,8.10069,1.18655,0.00156798,0.00156798,0.00156798
5,81.9646,1.5418,3.77241,3.10246,1.29885,0.66477,0.22093,0.14773,0.07955,0.66846,0.22093,0.13882,0.05541,1.44687,4.2166,2.90813,1.23355,0.00153497,0.00153497,0.00153497
6,98.7442,1.40509,3.83594,2.65679,1.28572,0.69428,0.27907,0.18202,0.10903,0.69428,0.27907,0.1808,0.10326,1.2333,2.8701,3.94771,1.35041,0.00150197,0.00150197,0.00150197
7,115.666,1.36551,3.36837,2.17343,1.2146,0.81381,0.27445,0.39685,0.27131,0.81381,0.27445,0.39262,0.18619,1.22844,2.54124,2.29862,1.1749,0.00146896,0.00146896,0.00146896
8,132.755,1.3407,2.95539,1.75785,1.19013,0.51736,0.63721,0.56087,0.38381,0.51653,0.62558,0.53827,0.20114,1.15641,2.28387,3.50312,1.13561,0.00143595,0.00143595,0.00143595
9,149.901,1.25869,2.74927,1.68623,1.15061,0.88696,0.52093,0.60868,0.42851,0.88696,0.52093,0.59427,0.17449,1.16638,2.26314,1.47197,1.06768,0.00140295,0.00140295,0.00140295
10,166.724,1.216,2.67272,1.64224,1.14733,0.59389,0.52602,0.51879,0.35974,0.58733,0.50394,0.50594,0.18048,1.03197,2.19824,2.15515,1.04845,0.00136994,0.00136994,0.00136994
11,184.207,1.21663,2.50027,1.63219,1.14445,0.64278,0.62355,0.62084,0.41333,0.63983,0.60663,0.61007,0.23911,1.11421,2.64591,1.95253,1.12055,0.00133693,0.00133693,0.00133693
12,201.477,1.16849,2.54819,1.60969,1.13987,0.74656,0.46502,0.48965,0.34405,0.74656,0.46502,0.49264,0.22012,1.05759,2.26043,2.0191,1.08329,0.00130393,0.00130393,0.00130393
13,218.798,1.09334,2.35267,1.31154,1.10042,0.86584,0.56271,0.58768,0.43349,0.68537,0.46744,0.41863,0.20531,1.02197,1.99234,1.27981,1.07714,0.00127092,0.00127092,0.00127092
14,235.495,1.10815,2.14776,1.23491,1.08181,0.76683,0.6225,0.59034,0.4226,0.76683,0.6225,0.60012,0.25758,1.09793,1.95036,1.5348,1.08917,0.00123791,0.00123791,0.00123791
15,252.847,1.14527,2.10482,1.29805,1.11584,0.90474,0.57902,0.61239,0.4423,0.90474,0.57902,0.60661,0.24131,1.09677,2.01721,1.30226,1.0983,0.00120491,0.00120491,0.00120491
16,269.746,1.08456,2.01388,1.18283,1.0738,0.6647,0.60233,0.58365,0.41407,0.67285,0.60233,0.58074,0.26296,0.93397,1.76701,1.23482,1.03453,0.0011719,0.0011719,0.0011719
17,287.165,1.06619,2.00657,1.06521,1.0587,0.82538,0.60439,0.61666,0.44264,0.82538,0.60439,0.61204,0.28958,1.01942,1.81615,1.20984,1.09551,0.00113889,0.00113889,0.00113889
18,309.918,1.0283,1.87964,1.06515,1.04321,0.84028,0.66047,0.66547,0.51212,0.92048,0.57914,0.64278,0.25742,0.9439,2.13168,1.10521,1.06438,0.00110589,0.00110589,0.00110589
19,331.721,0.98265,1.90772,0.98508,1.03934,0.96207,0.60233,0.65214,0.51281,0.96207,0.60233,0.65529,0.29212,0.93656,1.96667,0.99492,1.05742,0.00107288,0.00107288,0.00107288
20,353.516,0.9716,1.82267,0.9806,1.03109,0.93291,0.59452,0.64634,0.49868,0.93291,0.59452,0.64776,0.28185,0.95228,1.94884,0.98127,1.05619,0.00103987,0.00103987,0.00103987
21,369.879,0.96157,1.86055,0.8981,1.01905,0.90521,0.61088,0.65815,0.4866,0.90521,0.61088,0.6573,0.28345,0.94876,2.06494,1.01644,1.01798,0.00100687,0.00100687,0.00100687
22,386.9,0.95689,1.72215,0.88911,0.99898,0.90077,0.60233,0.64198,0.4934,0.90077,0.60233,0.63148,0.30141,0.95687,2.11446,1.07091,1.01686,0.000973861,0.000973861,0.000973861
23,404.079,0.93297,1.84489,0.84817,1.01782,0.92728,0.60002,0.69369,0.51707,0.92728,0.60002,0.6601,0.3051,0.86467,1.95568,1.03755,1.00357,0.000940855,0.000940855,0.000940855
24,426.301,0.87787,1.61008,0.80439,0.97745,0.94844,0.60673,0.6976,0.51771,0.94844,0.60673,0.6919,0.29597,0.82468,1.92708,1.02785,0.99254,0.000907848,0.000907848,0.000907848
25,443.236,0.90053,1.65837,0.82954,1.00503,0.89059,0.60709,0.70706,0.53665,0.89059,0.60709,0.68459,0.3192,0.98377,1.96088,0.88687,1.03031,0.000874842,0.000874842,0.000874842
26,463.745,0.85073,1.50625,0.74967,0.94929,0.8835,0.58824,0.70396,0.51865,0.8835,0.58824,0.68168,0.33149,0.90739,1.96279,0.95568,1.02279,0.000841835,0.000841835,0.000841835
27,478.564,0.89728,1.56927,0.77848,0.94463,0.93042,0.57907,0.68258,0.51396,0.93042,0.57907,0.66766,0.33641,0.8734,1.84705,0.91634,1.02506,0.000808828,0.000808828,0.000808828
28,507.731,0.81477,1.509,0.73392,0.95167,0.89591,0.5914,0.69494,0.51787,0.89591,0.5914,0.65703,0.28945,0.90676,1.73215,0.92916,1.01132,0.000775822,0.000775822,0.000775822
29,522.695,0.82122,1.46855,0.73204,0.94592,0.75633,0.74884,0.7406,0.56993,0.76371,0.74438,0.73489,0.30844,0.87646,1.61969,0.918,0.99604,0.000742815,0.000742815,0.000742815
30,542.77,0.78984,1.44431,0.6834,0.92788,0.9076,0.60233,0.69532,0.5338,0.9076,0.60233,0.67038,0.30215,0.92141,1.68649,0.93597,1.00049,0.000709809,0.000709809,0.000709809
31,557.714,0.85092,1.47884,0.74315,0.9677,0.88739,0.60233,0.67317,0.50629,0.88739,0.60233,0.63312,0.29549,0.90274,1.67612,0.9356,1.00874,0.000676802,0.000676802,0.000676802
32,572.779,0.79916,1.43864,0.67755,0.94438,0.89776,0.59847,0.66729,0.49537,0.89776,0.59847,0.64231,0.30703,0.92533,1.79799,0.93514,1.01518,0.000643795,0.000643795,0.000643795
33,587.864,0.76434,1.3058,0.64296,0.91197,0.88414,0.5907,0.65916,0.49688,0.88414,0.5907,0.64309,0.29223,0.8911,1.78051,0.91629,1.02599,0.000610789,0.000610789,0.000610789
34,603.085,0.78513,1.38587,0.68638,0.95252,0.88715,0.5907,0.70115,0.51878,0.88715,0.5907,0.68126,0.26013,0.86664,1.8104,0.90967,0.98253,0.000577782,0.000577782,0.000577782
35,618.181,0.81376,1.35485,0.68137,0.93031,0.93056,0.60084,0.73487,0.54086,0.93056,0.60084,0.72134,0.2901,0.87632,1.88385,0.8868,0.96724,0.000544776,0.000544776,0.000544776
36,633.347,0.784,1.37453,0.6447,0.91703,0.93663,0.60233,0.73041,0.587,0.93663,0.60233,0.72037,0.30532,0.8687,1.81437,0.8487,0.97035,0.000511769,0.000511769,0.000511769
37,653.404,0.76309,1.31755,0.6683,0.93312,0.90785,0.70482,0.74103,0.58773,0.90785,0.70482,0.73686,0.30316,0.86236,1.73882,0.8604,0.98378,0.000478762,0.000478762,0.000478762
38,668.308,0.7712,1.34964,0.62899,0.90643,0.94851,0.68457,0.74763,0.58233,0.94851,0.68457,0.73211,0.30925,0.87762,1.80697,0.85465,0.99245,0.000445756,0.000445756,0.000445756
39,683.152,0.74917,1.25886,0.64403,0.91567,0.93228,0.60233,0.73118,0.57915,0.93228,0.60233,0.72366,0.29373,0.72917,1.56927,0.72632,0.95096,0.000412749,0.000412749,0.000412749
40,698.397,0.6987,1.22185,0.58288,0.88785,0.93296,0.60233,0.69271,0.55513,0.93296,0.60233,0.68116,0.29661,0.72105,1.48358,0.72493,0.95217,0.000379743,0.000379743,0.000379743
41,737.241,0.72517,1.33385,0.62793,0.90027,0.91705,0.60233,0.73469,0.59176,0.91705,0.60233,0.72446,0.3183,0.78336,1.54529,0.7628,0.95222,0.000346736,0.000346736,0.000346736
42,757.647,0.73066,1.24581,0.59609,0.87183,0.90992,0.60233,0.76248,0.60839,0.90992,0.60233,0.75145,0.32429,0.83108,1.58105,0.76997,0.9588,0.000313729,0.000313729,0.000313729
43,778.049,0.70673,1.25917,0.57183,0.88617,0.90378,0.60825,0.76345,0.59826,0.90378,0.60825,0.73768,0.3268,0.84879,1.62594,0.80177,0.96742,0.000280723,0.000280723,0.000280723
44,793.359,0.71985,1.19472,0.60703,0.89703,0.90782,0.60173,0.70615,0.57183,0.90782,0.60173,0.70064,0.34374,0.81809,1.58286,0.81385,0.98622,0.000247716,0.000247716,0.000247716
45,808.415,0.64919,1.1019,0.53317,0.86812,0.90203,0.59849,0.70343,0.5572,0.90203,0.59849,0.69893,0.33919,0.80171,1.54469,0.83971,0.98906,0.00021471,0.00021471,0.00021471
46,823.685,0.64178,1.10769,0.5305,0.85825,0.89526,0.59977,0.70403,0.58045,0.89526,0.59977,0.7002,0.34181,0.78565,1.53003,0.82831,0.98199,0.000181703,0.000181703,0.000181703
47,838.743,0.65643,1.11838,0.53736,0.87308,0.89639,0.60064,0.70953,0.57487,0.89639,0.60064,0.70823,0.32111,0.78522,1.52709,0.82423,0.98188,0.000148696,0.000148696,0.000148696
48,854.236,0.62323,1.11826,0.52704,0.86411,0.90344,0.60233,0.71377,0.54395,0.90344,0.60233,0.70651,0.31579,0.80248,1.54602,0.83195,0.98104,0.00011569,0.00011569,0.00011569
49,866.829,0.65523,1.08877,0.51986,0.87226,0.9027,0.60233,0.71539,0.54566,0.9027,0.60233,0.71091,0.31673,0.80805,1.55943,0.80657,0.98815,8.26832e-05,8.26832e-05,8.26832e-05
50,879.42,0.65034,1.13221,0.52661,0.87408,0.90347,0.60233,0.7159,0.55766,0.90347,0.60233,0.71122,0.33136,0.80668,1.55643,0.79368,0.99522,4.96766e-05,4.96766e-05,4.96766e-05
