epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63821,2.04243,4.67583,1.74014,0.20389,0.09756,0.05297,0.02496,1.74477,3.93451,1.58335,7.145e-05,7.145e-05,7.145e-05
2,9.5996,1.78375,2.98598,1.58514,0.47715,0.58537,0.58636,0.31305,1.46882,4.07697,1.41032,0.000154078,0.000154078,0.000154078
3,15.2633,1.5057,1.90812,1.40763,0.69164,0.65854,0.72904,0.42456,1.49183,2.89998,1.36073,0.00023331,0.00023331,0.00023331
4,20.8792,1.41501,1.47035,1.3645,0.85132,0.60976,0.75008,0.46209,1.50105,1.58617,1.39961,0.000309147,0.000309147,0.000309147
5,26.6753,1.37845,1.43313,1.33883,0.90859,0.68293,0.81422,0.49209,1.46529,1.95565,1.39473,0.000381589,0.000381589,0.000381589
6,32.652,1.3334,1.27295,1.32244,0.84749,0.6778,0.77282,0.48204,1.38474,1.69797,1.32721,0.000450635,0.000450635,0.000450635
7,36.9771,1.40617,1.2891,1.35496,0.98232,0.53659,0.7119,0.43187,1.44719,2.65907,1.35515,0.000516286,0.000516286,0.000516286
8,40.995,1.34918,1.1644,1.23433,0.89618,0.63172,0.75287,0.41918,1.55968,2.2021,1.41096,0.000578542,0.000578542,0.000578542
9,45.4223,1.30577,1.06128,1.21634,0.93713,0.72721,0.77347,0.37315,1.88475,1.71076,1.64047,0.000637403,0.000637403,0.000637403
10,49.4341,1.27803,1.10216,1.24146,0.81429,0.68293,0.72418,0.42945,1.58014,1.83597,1.4093,0.000692868,0.000692868,0.000692868
11,53.4654,1.3002,0.96605,1.27151,0.77523,0.68293,0.68962,0.378,1.62051,1.55867,1.4342,0.000744938,0.000744938,0.000744938
12,57.5714,1.23687,1.01492,1.20212,0.79489,0.66173,0.71074,0.38581,1.68607,1.68643,1.44126,0.000793612,0.000793612,0.000793612
13,61.7828,1.31321,0.92943,1.24402,0.69422,0.63415,0.68994,0.38998,1.62863,1.82186,1.43406,0.000838892,0.000838892,0.000838892
14,65.8208,1.29933,0.92697,1.23392,0.80209,0.7561,0.7597,0.38885,1.57921,1.82616,1.37869,0.000880776,0.000880776,0.000880776
15,69.8412,1.27105,0.882,1.20297,0.69494,0.77794,0.7275,0.37591,1.62296,2.15278,1.40766,0.000919264,0.000919264,0.000919264
16,74.0172,1.27861,0.88698,1.2095,0.90866,0.72797,0.77786,0.43679,1.57104,1.343,1.35983,0.000954358,0.000954358,0.000954358
17,77.9766,1.27148,0.79781,1.20077,0.86619,0.70732,0.76815,0.44569,1.54088,1.30899,1.34969,0.000976293,0.000976293,0.000976293
18,82.2194,1.30703,0.89444,1.23095,0.73753,0.63415,0.701,0.3943,1.56394,1.52212,1.35144,0.000947999,0.000947999,0.000947999
19,86.3902,1.20996,0.84644,1.17702,0.77935,0.63415,0.71529,0.41349,1.53878,1.5236,1.32835,0.000919704,0.000919704,0.000919704
20,90.4527,1.24232,0.81278,1.17941,0.72381,0.76716,0.77351,0.44808,1.4666,1.27771,1.26091,0.00089141,0.00089141,0.00089141
21,94.8582,1.14788,0.76159,1.14268,0.84384,0.79093,0.84364,0.46578,1.50453,1.03961,1.29991,0.000863116,0.000863116,0.000863116
22,98.8645,1.13951,0.76942,1.1524,0.90669,0.78049,0.87965,0.48142,1.54123,0.95111,1.31376,0.000834822,0.000834822,0.000834822
23,102.885,1.17434,0.78416,1.17319,0.88758,0.77044,0.86513,0.49381,1.51481,0.9919,1.28715,0.000806528,0.000806528,0.000806528
24,108.714,1.11528,0.75115,1.13027,0.93927,0.75451,0.84027,0.51581,1.41398,1.02362,1.22514,0.000778233,0.000778233,0.000778233
25,114.834,1.12751,0.71746,1.10515,0.91943,0.7561,0.83642,0.49043,1.44911,1.05157,1.24776,0.000749939,0.000749939,0.000749939
26,119.043,1.10187,0.7228,1.12727,0.85305,0.7561,0.82916,0.47398,1.51794,1.11015,1.32289,0.000721645,0.000721645,0.000721645
27,122.981,1.09286,0.68791,1.09962,0.91079,0.74719,0.83961,0.49237,1.50987,1.0769,1.32469,0.000693351,0.000693351,0.000693351
