epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03122,2.09525,4.34445,1.75815,0.42824,0.17073,0.18324,0.09789,1.69838,3.3061,1.3872,7.145e-05,7.145e-05,7.145e-05
2,14.8386,1.60753,2.57404,1.32461,0.56196,0.5122,0.55525,0.28505,1.46216,6.20785,1.23425,0.000154078,0.000154078,0.000154078
3,25.8233,1.45864,1.52767,1.22908,0.72149,0.75825,0.78878,0.47847,1.37979,2.21079,1.27199,0.00023331,0.00023331,0.00023331
4,385.223,1.43455,1.2185,1.25066,0.90315,0.68293,0.75899,0.43713,1.51022,2.43866,1.27828,0.000309147,0.000309147,0.000309147
5,396.187,1.40794,1.19762,1.23594,0.95884,0.65854,0.7652,0.42275,1.59891,3.59372,1.36074,0.000381589,0.000381589,0.000381589
6,413.114,1.3853,1.10986,1.27275,0.75232,0.60976,0.65337,0.32504,1.75591,5.11768,1.49067,0.000450635,0.000450635,0.000450635
7,420.827,1.47467,1.25743,1.32084,0.88586,0.65854,0.77544,0.4475,1.5035,1.59895,1.33838,0.000516286,0.000516286,0.000516286
8,428.354,1.47719,1.328,1.23803,0.75536,0.4878,0.60199,0.31586,1.67637,1.60688,1.47338,0.000578542,0.000578542,0.000578542
9,435.991,1.39333,1.25103,1.20423,0.64214,0.39024,0.46521,0.25085,1.68083,2.01001,1.55995,0.000637403,0.000637403,0.000637403
10,443.716,1.41413,1.2137,1.24771,0.56202,0.36585,0.37757,0.2293,1.7148,2.34984,1.59316,0.000692868,0.000692868,0.000692868
11,450.856,1.44757,1.19296,1.33286,0.86922,0.53659,0.64797,0.40322,1.55018,2.84252,1.44506,0.000744938,0.000744938,0.000744938
12,458.027,1.37676,1.04844,1.21749,0.74279,0.68293,0.74351,0.38324,1.59555,3.33124,1.4829,0.000793612,0.000793612,0.000793612
13,465.249,1.41173,1.07862,1.24767,0.71452,0.70732,0.68117,0.35001,1.64172,2.55318,1.53592,0.000838892,0.000838892,0.000838892
14,472.64,1.3889,1.06945,1.27206,0.09088,0.65854,0.07305,0.03839,1.6463,23.4981,1.48597,0.000880776,0.000880776,0.000880776
15,479.776,1.40623,1.04321,1.2466,0.08306,0.63415,0.06349,0.03355,1.62009,29.1033,1.51733,0.000919264,0.000919264,0.000919264
16,486.958,1.35135,1.04117,1.2245,0.70642,0.65854,0.68541,0.38848,1.49746,3.23592,1.36979,0.000954358,0.000954358,0.000954358
17,494.123,1.34879,0.9583,1.20842,0.87147,0.58537,0.68202,0.41773,1.48843,1.89038,1.35905,0.000976293,0.000976293,0.000976293
18,501.417,1.37473,1.00526,1.22309,0.51922,0.60976,0.52771,0.29962,1.49254,3.20725,1.41491,0.000947999,0.000947999,0.000947999
19,508.758,1.2806,0.94612,1.18989,0.63039,0.6657,0.63869,0.35925,1.58758,2.21947,1.45479,0.000919704,0.000919704,0.000919704
20,515.927,1.34162,0.95843,1.20264,0.79948,0.58353,0.71721,0.34044,1.73578,1.95183,1.59841,0.00089141,0.00089141,0.00089141
21,523.039,1.31033,0.86623,1.20681,0.76307,0.65854,0.69033,0.38381,1.5846,2.01071,1.51388,0.000863116,0.000863116,0.000863116
22,530.208,1.25928,0.87738,1.19535,0.70619,0.73171,0.74151,0.43918,1.5417,1.57317,1.43976,0.000834822,0.000834822,0.000834822
23,537.423,1.29299,0.84835,1.24254,0.83235,0.63415,0.74515,0.41019,1.5935,1.43797,1.43854,0.000806528,0.000806528,0.000806528
24,544.733,1.29567,0.85689,1.2039,0.81689,0.65299,0.72732,0.39273,1.61535,1.59042,1.46017,0.000778233,0.000778233,0.000778233
25,551.903,1.17745,0.77632,1.11364,0.75651,0.68204,0.71073,0.36082,1.64946,1.81223,1.51262,0.000749939,0.000749939,0.000749939
26,559.147,1.19503,0.77072,1.16948,0.87262,0.68293,0.74799,0.40902,1.54794,1.59588,1.42201,0.000721645,0.000721645,0.000721645
27,566.345,1.26208,0.84195,1.17289,0.80451,0.65854,0.70676,0.39535,1.52504,1.73408,1.38165,0.000693351,0.000693351,0.000693351
28,573.528,1.23976,0.84126,1.20395,0.76542,0.68293,0.77671,0.41783,1.6064,1.77959,1.41643,0.000665057,0.000665057,0.000665057
29,580.698,1.20668,0.77129,1.14249,0.83157,0.72268,0.78976,0.42674,1.61005,1.85723,1.39578,0.000636762,0.000636762,0.000636762
