epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36769,2.02464,3.84861,1.74385,0.12952,0.12195,0.03271,0.01112,1.86033,3.98598,1.65909,7.145e-05,7.145e-05,7.145e-05
2,5.53546,1.75407,2.92307,1.59381,0.72397,0.60976,0.64668,0.37083,1.47751,3.64401,1.42549,0.000154078,0.000154078,0.000154078
3,10.6248,1.49633,1.77642,1.4205,0.74586,0.70732,0.75189,0.41943,1.54261,3.72334,1.48661,0.00023331,0.00023331,0.00023331
4,15.7193,1.38969,1.5498,1.37176,0.85874,0.74153,0.80414,0.4654,1.42512,1.71095,1.38617,0.000309147,0.000309147,0.000309147
5,20.7232,1.38331,1.39647,1.35003,0.74489,0.73171,0.79759,0.45631,1.58244,1.31489,1.47132,0.000381589,0.000381589,0.000381589
6,24.5733,1.3836,1.3037,1.36977,0.76553,0.71686,0.74776,0.36752,1.84908,1.45429,1.67798,0.000450635,0.000450635,0.000450635
7,28.3056,1.37985,1.21007,1.33132,0.7997,0.58537,0.70991,0.43705,1.48606,1.46015,1.40415,0.000516286,0.000516286,0.000516286
8,32.0896,1.38584,1.1555,1.26174,0.42223,0.53659,0.45265,0.17602,1.79447,1.90044,1.61359,0.000578542,0.000578542,0.000578542
9,35.7923,1.35431,1.08616,1.24352,0.78851,0.70732,0.73574,0.43069,1.54589,4.69865,1.4277,0.000637403,0.000637403,0.000637403
10,39.4407,1.39055,1.18485,1.27782,0.96432,0.65918,0.74696,0.40301,1.56194,6.11675,1.506,0.000692868,0.000692868,0.000692868
11,43.0629,1.36776,1.09629,1.34452,0.8544,0.58537,0.65687,0.39325,1.47101,1.5842,1.38178,0.000744938,0.000744938,0.000744938
12,46.8347,1.3263,1.08634,1.25755,0.93176,0.66619,0.80034,0.46347,1.40577,1.15684,1.37651,0.000793612,0.000793612,0.000793612
13,50.4028,1.31948,1.04714,1.26923,0.65207,0.68573,0.60377,0.337,1.54503,1.60681,1.42612,0.000838892,0.000838892,0.000838892
14,54.1147,1.33401,1.00621,1.29091,0.89967,0.65854,0.75843,0.45443,1.45758,1.26966,1.38203,0.000880776,0.000880776,0.000880776
15,57.6523,1.31883,0.93026,1.27192,0.8803,0.65854,0.77044,0.45012,1.48916,1.24292,1.39544,0.000919264,0.000919264,0.000919264
16,61.3908,1.31045,1.00163,1.2556,0.75656,0.65854,0.7245,0.39762,1.58671,1.2299,1.42795,0.000954358,0.000954358,0.000954358
17,64.8657,1.36136,0.88348,1.27297,0.86946,0.70732,0.7829,0.48316,1.41278,1.04888,1.32432,0.000976293,0.000976293,0.000976293
18,69.8519,1.31446,0.91887,1.23087,0.86352,0.56098,0.6962,0.45115,1.34683,1.26956,1.26894,0.000947999,0.000947999,0.000947999
19,73.5747,1.23375,0.87864,1.20237,0.59304,0.53659,0.47274,0.29943,1.4521,1.70663,1.32006,0.000919704,0.000919704,0.000919704
20,77.2579,1.24459,0.8272,1.18073,0.73305,0.53583,0.58772,0.34041,1.54163,2.20607,1.37853,0.00089141,0.00089141,0.00089141
21,80.7878,1.19585,0.82025,1.19564,0.83275,0.56098,0.65441,0.37673,1.59401,1.80328,1.41139,0.000863116,0.000863116,0.000863116
22,84.3615,1.21513,0.83672,1.20271,0.96736,0.723,0.82833,0.43982,1.55811,1.08536,1.37867,0.000834822,0.000834822,0.000834822
23,87.947,1.23706,0.83098,1.24097,0.87006,0.7561,0.83434,0.45852,1.56476,1.06665,1.34928,0.000806528,0.000806528,0.000806528
24,91.5233,1.23626,0.83348,1.21917,0.96319,0.68293,0.86812,0.51646,1.39619,1.05096,1.29699,0.000778233,0.000778233,0.000778233
25,96.7254,1.15655,0.73631,1.14018,0.90461,0.69412,0.84961,0.515,1.40476,1.0568,1.30872,0.000749939,0.000749939,0.000749939
26,119.567,1.14444,0.73383,1.19122,0.71956,0.82927,0.79154,0.4654,1.47976,1.06624,1.35763,0.000721645,0.000721645,0.000721645
27,123.156,1.18358,0.75947,1.1638,0.88576,0.60976,0.76318,0.46864,1.40297,1.16406,1.32747,0.000693351,0.000693351,0.000693351
28,126.839,1.1641,0.73979,1.20316,0.86185,0.65854,0.75545,0.4329,1.43126,1.23108,1.31436,0.000665057,0.000665057,0.000665057
29,130.398,1.15609,0.72904,1.15021,0.9278,0.65854,0.76046,0.44937,1.43515,1.20687,1.29568,0.000636762,0.000636762,0.000636762
30,134.033,1.05815,0.67041,1.08598,0.88817,0.65854,0.77124,0.45552,1.40054,1.19009,1.29758,0.000608468,0.000608468,0.000608468
31,137.712,1.06133,0.65435,1.1236,0.98223,0.60976,0.76855,0.45846,1.45797,1.11325,1.33675,0.000580174,0.000580174,0.000580174
32,141.283,1.12998,0.68924,1.12863,0.96274,0.63415,0.76751,0.46835,1.4241,1.15792,1.34752,0.00055188,0.00055188,0.00055188
33,144.839,1.08686,0.71069,1.11206,0.9996,0.60976,0.71703,0.45164,1.37291,1.29815,1.33401,0.000523586,0.000523586,0.000523586
34,148.426,1.05195,0.67046,1.10366,1,0.63325,0.71581,0.42093,1.50097,1.32487,1.42647,0.000495291,0.000495291,0.000495291
35,151.929,1.03644,0.62645,1.06645,0.99202,0.63415,0.72799,0.42561,1.5085,1.27699,1.42303,0.000466997,0.000466997,0.000466997
36,155.548,1.07171,0.66551,1.10066,0.89804,0.63415,0.79058,0.4894,1.46143,1.16141,1.37726,0.000438703,0.000438703,0.000438703
37,159.241,1.05921,0.66214,1.08086,0.8501,0.7561,0.82433,0.50042,1.44169,1.09426,1.34754,0.000410409,0.000410409,0.000410409
38,162.846,0.96731,0.61382,1.0763,0.9582,0.70732,0.83824,0.4983,1.45278,1.04848,1.36436,0.000382115,0.000382115,0.000382115
39,166.439,0.95736,0.57531,1.03447,0.96645,0.70278,0.84192,0.4874,1.4535,0.98163,1.36165,0.00035382,0.00035382,0.00035382
40,170.097,1.00631,0.66702,1.09015,0.89128,0.70732,0.82898,0.49939,1.42451,0.92851,1.36547,0.000325526,0.000325526,0.000325526
41,192.867,0.91086,0.5452,1.02395,0.90617,0.70664,0.83423,0.49781,1.45328,0.92069,1.39239,0.000297232,0.000297232,0.000297232
42,196.363,0.9354,0.54218,1.05396,0.93663,0.72124,0.84325,0.49717,1.46355,0.87881,1.38925,0.000268938,0.000268938,0.000268938
43,200.091,0.92031,0.53537,1.03623,0.93508,0.7561,0.85233,0.5312,1.39743,0.86844,1.34581,0.000240644,0.000240644,0.000240644
44,205.396,0.9153,0.53128,1.0646,0.96848,0.74964,0.85835,0.5096,1.47078,0.86893,1.37403,0.000212349,0.000212349,0.000212349
45,209.047,0.89095,0.50586,1.03721,0.94451,0.7561,0.86066,0.49186,1.53111,0.86361,1.41406,0.000184055,0.000184055,0.000184055
46,212.692,0.90836,0.51687,1.02717,0.96892,0.76043,0.8644,0.49181,1.53024,0.91879,1.39789,0.000155761,0.000155761,0.000155761
47,216.276,0.85279,0.50853,1.00809,0.9685,0.75002,0.8836,0.50509,1.50372,0.92657,1.37356,0.000127467,0.000127467,0.000127467
48,219.974,0.83306,0.46962,1.00086,0.86855,0.80578,0.86897,0.49662,1.52027,0.90633,1.38075,9.91726e-05,9.91726e-05,9.91726e-05
49,223.686,0.83323,0.46941,1.0049,0.87347,0.82927,0.87006,0.49483,1.53288,0.90231,1.38341,7.08784e-05,7.08784e-05,7.08784e-05
50,227.389,0.86289,0.48622,1.02059,0.87877,0.82927,0.88737,0.49698,1.53675,0.90922,1.38419,4.25842e-05,4.25842e-05,4.25842e-05
