epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59149,2.11424,4.79033,1.76693,0.2213,0.07317,0.07869,0.02956,1.79696,3.71278,1.51261,7.145e-05,7.145e-05,7.145e-05
2,11.6147,1.70656,2.72934,1.47709,0.54549,0.63415,0.59768,0.33997,1.44004,5.89718,1.26183,0.000154078,0.000154078,0.000154078
3,21.2814,1.40527,1.59003,1.27988,0.71695,0.70732,0.71031,0.41846,1.48613,3.08404,1.27724,0.00023331,0.00023331,0.00023331
4,45.7372,1.40389,1.21427,1.3109,0.78654,0.71912,0.7387,0.45012,1.36443,2.6573,1.27302,0.000309147,0.000309147,0.000309147
5,53.5116,1.35446,1.22735,1.28439,0.63205,0.7561,0.70696,0.39061,1.67504,2.2947,1.51556,0.000381589,0.000381589,0.000381589
6,58.9317,1.33411,1.06398,1.28055,0.66102,0.53659,0.59075,0.299,1.81646,3.206,1.6601,0.000450635,0.000450635,0.000450635
7,64.4484,1.37364,1.10061,1.30921,0.80009,0.53659,0.6295,0.35379,1.51691,2.80911,1.39478,0.000516286,0.000516286,0.000516286
8,541.262,1.35185,1.06185,1.2251,0.20221,0.46341,0.12851,0.07702,1.7225,11.2967,1.57895,0.000578542,0.000578542,0.000578542
9,546.313,1.28146,0.95607,1.19198,0.4675,0.36585,0.289,0.13214,2.21036,55.4959,1.95017,0.000637403,0.000637403,0.000637403
10,551.522,1.33259,0.95351,1.23343,0.02268,0.2439,0.01458,0.00777,1.85197,86.7464,1.63765,0.000692868,0.000692868,0.000692868
11,556.902,1.36493,0.97031,1.29908,0.66313,0.53659,0.55136,0.30227,1.75353,3.40356,1.50016,0.000744938,0.000744938,0.000744938
12,677.115,1.32915,0.95623,1.23096,0.67201,0.44997,0.49714,0.30404,1.5241,3.54109,1.37573,0.000793612,0.000793612,0.000793612
13,682.206,1.36354,0.96106,1.26376,0.89905,0.4878,0.57033,0.31743,1.69056,9.49045,1.46139,0.000838892,0.000838892,0.000838892
14,687.644,1.27258,0.94211,1.23463,0.49022,0.42233,0.392,0.2401,1.59492,2.34966,1.43808,0.000880776,0.000880776,0.000880776
15,693.093,1.25807,0.83768,1.2102,0.19473,0.43902,0.16301,0.09847,1.54076,3.27117,1.37351,0.000919264,0.000919264,0.000919264
16,698.296,1.26536,0.85479,1.21886,0.97732,0.39024,0.54559,0.31262,1.68932,1.64954,1.5562,0.000954358,0.000954358,0.000954358
17,703.425,1.28135,0.82552,1.20422,0.49985,0.41463,0.40788,0.22031,1.54971,1.72528,1.42392,0.000976293,0.000976293,0.000976293
18,708.649,1.27326,0.87438,1.20633,0.81222,0.46341,0.51318,0.29948,1.62316,1.7875,1.38319,0.000947999,0.000947999,0.000947999
19,713.758,1.24523,0.82959,1.20148,0.68508,0.34146,0.40825,0.26357,1.59312,2.14532,1.35435,0.000919704,0.000919704,0.000919704
20,719.09,1.23229,0.7956,1.19026,0.11423,0.19501,0.04247,0.02391,1.71652,6.16818,1.48598,0.00089141,0.00089141,0.00089141
21,724.277,1.15723,0.8235,1.17398,0.02038,0.41463,0.01392,0.00777,1.64389,40.4667,1.46239,0.000863116,0.000863116,0.000863116
22,729.4,1.16499,0.80427,1.17323,0.76209,0.58537,0.6139,0.3491,1.72358,30.3154,1.49622,0.000834822,0.000834822,0.000834822
23,734.579,1.17183,0.77746,1.18577,0.89086,0.59746,0.67007,0.36582,1.65178,27.4869,1.41618,0.000806528,0.000806528,0.000806528
24,739.931,1.1289,0.78118,1.14871,0.91376,0.65854,0.7383,0.45244,1.48288,1.22412,1.32279,0.000778233,0.000778233,0.000778233
25,747.384,1.0962,0.68091,1.09167,1,0.60975,0.74406,0.46395,1.46155,1.22939,1.31856,0.000749939,0.000749939,0.000749939
26,755.113,1.08356,0.68098,1.12725,0.96538,0.68026,0.79768,0.46656,1.57268,1.06389,1.35864,0.000721645,0.000721645,0.000721645
27,765.499,1.12704,0.71546,1.1206,0.96265,0.62877,0.78756,0.45272,1.55818,1.12202,1.35787,0.000693351,0.000693351,0.000693351
28,770.874,1.12457,0.69835,1.16581,0.82229,0.68293,0.77008,0.44901,1.52519,1.19766,1.36188,0.000665057,0.000665057,0.000665057
29,776.219,1.08638,0.69532,1.10683,0.81363,0.74553,0.80303,0.44844,1.52784,1.12158,1.39753,0.000636762,0.000636762,0.000636762
30,781.428,1.03741,0.62775,1.07098,0.97905,0.73171,0.89078,0.4787,1.52071,0.89151,1.3901,0.000608468,0.000608468,0.000608468
31,788.735,1.01482,0.61084,1.09012,0.96959,0.77764,0.90173,0.50029,1.51944,0.86749,1.38929,0.000580174,0.000580174,0.000580174
32,796.636,1.04046,0.61493,1.08546,1,0.72673,0.87613,0.50848,1.45838,0.85553,1.36182,0.00055188,0.00055188,0.00055188
33,804.243,1.00569,0.61802,1.07673,0.87866,0.80488,0.86147,0.51561,1.39745,0.9366,1.33784,0.000523586,0.000523586,0.000523586
