epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.41592,2.03709,4.40073,1.66339,0.13887,0.09756,0.0462,0.01931,1.78386,3.7252,1.52257,7.145e-05,7.145e-05,7.145e-05
2,9.29396,1.7744,2.72413,1.50085,0.65178,0.56098,0.66152,0.3281,1.56031,3.31975,1.37184,0.000154078,0.000154078,0.000154078
3,14.9919,1.48635,1.67128,1.35222,0.7286,0.73171,0.76861,0.44129,1.45758,3.10242,1.312,0.00023331,0.00023331,0.00023331
4,20.8165,1.42005,1.37508,1.28489,0.79279,0.74671,0.79652,0.47336,1.42408,1.61122,1.23901,0.000309147,0.000309147,0.000309147
5,25.7751,1.33478,1.26137,1.22763,0.84035,0.73171,0.81601,0.46594,1.53665,1.58306,1.34587,0.000381589,0.000381589,0.000381589
6,29.0755,1.28751,1.165,1.2421,0.89965,0.73171,0.80823,0.47565,1.52811,1.36712,1.29801,0.000450635,0.000450635,0.000450635
7,34.1705,1.37502,1.18207,1.27441,0.95174,0.68293,0.7749,0.437,1.56964,1.48015,1.33127,0.000516286,0.000516286,0.000516286
8,37.1473,1.35703,1.04716,1.18746,0.96712,0.7177,0.79874,0.48008,1.43539,1.28553,1.27903,0.000578542,0.000578542,0.000578542
9,41.108,1.30949,1.01114,1.18609,0.89265,0.68293,0.74719,0.38175,1.64534,2.12254,1.46673,0.000637403,0.000637403,0.000637403
10,45.0339,1.3349,1.01856,1.20721,0.34521,0.41153,0.33999,0.23409,1.43959,4.6607,1.28876,0.000692868,0.000692868,0.000692868
11,49.1068,1.34167,1.0145,1.22534,0.71402,0.54827,0.58094,0.34686,1.59867,3.05367,1.40813,0.000744938,0.000744938,0.000744938
12,52.0644,1.29653,0.93587,1.17458,0.86235,0.63415,0.69303,0.43104,1.49835,2.14134,1.2871,0.000793612,0.000793612,0.000793612
13,54.9379,1.31959,0.95013,1.18541,0.68857,0.60976,0.68265,0.38399,1.58792,1.80033,1.34563,0.000838892,0.000838892,0.000838892
14,58.9867,1.30812,0.94087,1.20519,0.70532,0.70732,0.70125,0.4103,1.52472,1.41515,1.29387,0.000880776,0.000880776,0.000880776
15,61.7711,1.24708,0.87184,1.15538,0.66004,0.71037,0.68587,0.41627,1.49095,1.45346,1.25315,0.000919264,0.000919264,0.000919264
16,64.7756,1.25597,0.93893,1.1526,0.81121,0.70732,0.75113,0.47158,1.46024,1.18258,1.25055,0.000954358,0.000954358,0.000954358
17,67.7037,1.28482,0.84125,1.16327,0.85099,0.69664,0.76069,0.44704,1.51012,1.18816,1.2973,0.000976293,0.000976293,0.000976293
18,70.7012,1.28584,0.85165,1.18204,0.8393,0.70732,0.74199,0.40467,1.58032,1.41714,1.3476,0.000947999,0.000947999,0.000947999
19,73.7859,1.16675,0.86641,1.10989,0.89604,0.70732,0.74434,0.39427,1.622,1.37844,1.38088,0.000919704,0.000919704,0.000919704
20,76.6456,1.21142,0.82875,1.12202,0.85794,0.65854,0.71606,0.427,1.54276,1.28219,1.33892,0.00089141,0.00089141,0.00089141
21,80.5467,1.13665,0.75917,1.10109,0.97286,0.65854,0.74281,0.41075,1.57654,1.32863,1.35445,0.000863116,0.000863116,0.000863116
22,84.4706,1.16452,0.75167,1.12039,0.87777,0.60976,0.70802,0.39725,1.55744,1.38764,1.33712,0.000834822,0.000834822,0.000834822
23,87.2566,1.1897,0.76977,1.16327,0.84378,0.6587,0.73557,0.41916,1.57563,1.30925,1.32055,0.000806528,0.000806528,0.000806528
24,90.2736,1.14393,0.74217,1.11004,0.87964,0.63415,0.72454,0.39187,1.59666,1.41433,1.33204,0.000778233,0.000778233,0.000778233
25,93.2666,1.11184,0.67678,1.0659,0.93426,0.60976,0.72251,0.40651,1.59368,1.3697,1.30905,0.000749939,0.000749939,0.000749939
26,96.2453,1.14253,0.71473,1.11963,0.9333,0.68253,0.80411,0.47535,1.4115,1.03022,1.25565,0.000721645,0.000721645,0.000721645
27,99.2542,1.11776,0.69015,1.08873,0.87873,0.73171,0.82483,0.49629,1.40189,0.95041,1.24023,0.000693351,0.000693351,0.000693351
28,104.186,1.12364,0.70372,1.10395,0.99138,0.73171,0.84457,0.51885,1.37823,0.91667,1.22495,0.000665057,0.000665057,0.000665057
29,108.949,1.10082,0.69542,1.06482,0.96331,0.70732,0.82971,0.49303,1.41434,0.9841,1.23806,0.000636762,0.000636762,0.000636762
30,111.938,0.99761,0.65443,1.01817,0.89281,0.70732,0.80737,0.46849,1.43748,1.08694,1.2648,0.000608468,0.000608468,0.000608468
31,114.793,1.04717,0.63929,1.04817,0.96734,0.72263,0.79331,0.47457,1.39667,1.07154,1.22618,0.000580174,0.000580174,0.000580174
32,117.781,1.06596,0.67708,1.04536,0.86449,0.68293,0.77091,0.47887,1.42665,0.98124,1.21581,0.00055188,0.00055188,0.00055188
33,120.578,1.0219,0.64684,1.04018,0.87133,0.66071,0.79695,0.48187,1.45128,0.96406,1.23546,0.000523586,0.000523586,0.000523586
34,123.525,0.99879,0.61283,1.04266,0.80729,0.7561,0.79839,0.48659,1.44126,0.97473,1.26314,0.000495291,0.000495291,0.000495291
35,126.352,0.98306,0.59482,1.01049,0.82908,0.7099,0.79767,0.49192,1.4253,0.94483,1.24797,0.000466997,0.000466997,0.000466997
36,130.227,1.01152,0.60968,1.03795,0.86368,0.80488,0.84143,0.4937,1.57138,0.96135,1.30643,0.000438703,0.000438703,0.000438703
37,134.256,1.02563,0.61284,1.02327,0.82817,0.7561,0.81772,0.45375,1.67111,0.96791,1.36801,0.000410409,0.000410409,0.000410409
38,137.093,0.96549,0.60758,1.03208,0.94964,0.73171,0.84379,0.50496,1.44475,0.90737,1.24652,0.000382115,0.000382115,0.000382115
39,140.018,0.9105,0.54868,0.97872,0.92732,0.73171,0.83605,0.51733,1.39065,0.91541,1.22979,0.00035382,0.00035382,0.00035382
40,142.984,0.98235,0.64407,1.02947,0.9111,0.75001,0.83595,0.48379,1.54541,0.95336,1.30944,0.000325526,0.000325526,0.000325526
41,166.771,0.86692,0.51403,0.97566,0.84357,0.80488,0.83476,0.47065,1.57212,0.9715,1.32974,0.000297232,0.000297232,0.000297232
42,171.685,0.89388,0.51576,0.98594,0.88632,0.78049,0.83798,0.50156,1.4482,0.94183,1.27037,0.000268938,0.000268938,0.000268938
43,174.71,0.88098,0.49516,0.98881,0.95884,0.70732,0.82776,0.505,1.38827,0.93657,1.23692,0.000240644,0.000240644,0.000240644
44,177.827,0.88705,0.49491,0.99744,0.82305,0.79428,0.81488,0.50746,1.35637,0.94049,1.2211,0.000212349,0.000212349,0.000212349
45,180.862,0.85278,0.47116,0.98306,0.9811,0.68293,0.81594,0.5128,1.3791,0.9458,1.23453,0.000184055,0.000184055,0.000184055
46,183.929,0.84366,0.48604,0.97117,0.97319,0.68293,0.81202,0.5101,1.42014,0.9578,1.25192,0.000155761,0.000155761,0.000155761
47,186.932,0.83893,0.46784,0.95663,0.94785,0.68293,0.80893,0.51201,1.40544,0.93444,1.24459,0.000127467,0.000127467,0.000127467
48,189.936,0.78366,0.43457,0.93255,0.93537,0.70607,0.82032,0.51021,1.3959,0.95704,1.2273,9.91726e-05,9.91726e-05,9.91726e-05
49,192.929,0.79713,0.43907,0.94892,0.93544,0.70681,0.82294,0.5119,1.40432,0.95622,1.22532,7.08784e-05,7.08784e-05,7.08784e-05
50,196.755,0.82094,0.46882,0.96061,0.93545,0.70697,0.81091,0.50122,1.41919,0.95421,1.22885,4.25842e-05,4.25842e-05,4.25842e-05
